run_id,status,model,task,runtime,provider,precision,batch_size,input_shape,timestamp,model_size_mb,p50_model_ms,p90_model_ms,p95_model_ms,p99_model_ms,model_throughput_fps,p50_e2e_ms,p90_e2e_ms,p95_e2e_ms,p99_e2e_ms,e2e_throughput_fps,peak_vram_mb,peak_vram_reserved_mb,process_rss_mb,max_abs_error,mean_abs_error,cosine_similarity,numerical_gate,quality_metric,quality_value,quality_delta,quality_passed,stable,cv_p50,total_sessions,speedup_model,speedup_e2e,vram_reduction_pct,storage_compression_pct
industrial_autoencoder_ORT_CPU_int8_20260821_105038,PASS,industrial_autoencoder,anomaly_detection,ORT_CPU,CPUExecutionProvider,int8,1,"[1, 3, 256, 256]",2026-08-21T10:50:46.865356+00:00,3.35,6.356607,7.170739,8.18939215,8.80233967,157.3166313412171,9.887935500000001,10.9171411,11.014614,11.14823503,101.13334578284818,0.0,0.0,1156.99,0.005007565021514893,0.0007545878067200343,0.9999981332477829,True,image_auroc,1.0,0.0,True,True,0.03790798003944574,5,0.99,0.98,0.0,38.1
industrial_autoencoder_ORT_CPU_fp32_20260821_105030,PASS,industrial_autoencoder,anomaly_detection,ORT_CPU,CPUExecutionProvider,fp32,1,"[1, 3, 256, 256]",2026-08-21T10:50:38.584270+00:00,5.4,6.21505,6.7573543,6.80848625,7.3664957000000015,160.8997514098841,8.7841915,10.345044699999999,10.739597649999999,11.32386716,113.84086970326182,0.0,0.0,1136.23,1.0073184967041016e-05,1.3938544422368675e-06,0.9999999999936166,True,image_auroc,1.0,0.0,True,True,0.01305902574193243,5,1.01,1.11,0.0,0.2
industrial_autoencoder_PyTorch_fp32_20260821_105026,PASS,industrial_autoencoder,anomaly_detection,PyTorch,PyTorch_CUDA:0,fp32,1,"[1, 3, 256, 256]",2026-08-21T10:50:30.577930+00:00,5.41,1.2168959975242615,1.6557856440544134,1.7807311534881591,2.122505846023561,821.7629132107181,3.5913385,5.2291651,5.3813660500000005,5.80562191,278.4477152460009,15.89,28.0,1107.54,0.0,0.0,0.9999999999999999,True,image_auroc,1.0,0.0,True,True,0.0017534734810647251,5,5.15,2.71,0.0,0.0
industrial_autoencoder_PyTorch_fp32_20260821_105011,UNSTABLE_LATENCY,industrial_autoencoder,anomaly_detection,PyTorch,PyTorch_CPU,fp32,1,"[1, 3, 256, 256]",2026-08-21T10:50:26.458132+00:00,5.41,6.261787,7.0223638,7.46238965,9.130242870000005,159.6988207998771,9.718027,11.048586199999999,11.350956,11.71363421,102.9015457561499,0.0,0.0,1096.0,0.0,0.0,1.0,True,image_auroc,1.0,0.0,True,False,0.05881586484938253,7,1.0,1.0,0.0,0.0
yolo_nano_ORT_CPU_int8_20260821_104959,UNSTABLE_LATENCY,yolo_nano,detection,ORT_CPU,CPUExecutionProvider,int8,1,"[1, 3, 640, 640]",2026-08-21T10:50:11.226430+00:00,0.44,4.5403375,5.983259500000001,6.527782649999998,7.325617750000058,220.24794412309657,9.348902500000001,10.119842499999999,10.324066499999999,10.66259163,106.96442710788779,0.0,0.0,1064.82,0.3412051200866699,0.037767639671386834,0.999941785591729,False,mAP_50,0.0099,0.0,True,False,0.07163438344005604,7,1.6,1.37,0.0,73.3
yolo_nano_ORT_CPU_fp32_20260821_104949,UNSTABLE_LATENCY,yolo_nano,detection,ORT_CPU,CPUExecutionProvider,fp32,1,"[1, 3, 640, 640]",2026-08-21T10:49:59.786688+00:00,1.65,3.5939975000000004,3.9430343000000008,4.34478645,4.839517490000001,278.24170717981855,7.674894500000001,8.1387913,8.31745245,8.87383978,130.29495063417482,0.0,0.0,1013.63,0.00023320317268371582,3.089650436866063e-05,0.9999999999616923,True,mAP_50,0.0099,0.0,True,False,0.06814480169612544,7,2.02,1.67,0.0,0.0
yolo_nano_PyTorch_fp32_20260821_104939,UNSTABLE_LATENCY,yolo_nano,detection,PyTorch,PyTorch_CUDA:0,fp32,1,"[1, 3, 640, 640]",2026-08-21T10:49:49.127433+00:00,1.65,0.8325120210647583,0.8584191799163818,0.8666191756725311,1.063363507986069,1201.1838564457357,6.8786375,7.359678400000001,7.4879358,7.819118490000001,145.37762747346406,28.52,44.0,977.08,0.0,0.0,1.0,True,mAP_50,0.0099,0.0,True,False,0.17182266664045412,7,8.71,1.87,0.0,0.0
yolo_nano_PyTorch_fp32_20260821_104924,UNSTABLE_LATENCY,yolo_nano,detection,PyTorch,PyTorch_CPU,fp32,1,"[1, 3, 640, 640]",2026-08-21T10:49:39.921627+00:00,1.65,7.253826999999999,9.2054044,9.4990002,10.175125220000004,137.85826433412322,12.836086,15.072507200000002,16.732594799999998,24.556870310000008,77.90536772657958,0.0,0.0,652.07,0.0,0.0,1.0,True,mAP_50,0.0099,0.0,True,False,0.12617158806296103,7,1.0,1.0,0.0,0.0
